[2026/01/20 16:35:48.656277] [INFO] main.go:107: localhost:8080 GET /api/v1/applications 200
[2026/01/20 16:35:50.439212] [INFO] main.go:107: localhost:8080 GET /authos/app-selection 304
[2026/01/20 16:35:50.476741] [INFO] main.go:107: localhost:8080 GET /api/v1/applications 200
[2026/01/20 16:35:50.609211] [INFO] main.go:107: localhost:8080 GET /authos/app-selection 304
[2026/01/20 16:35:50.645033] [INFO] main.go:107: localhost:8080 GET /api/v1/applications 200
[2026/01/20 16:35:50.767439] [INFO] main.go:107: localhost:8080 GET /authos/app-selection 304
[2026/01/20 16:35:50.804535] [INFO] main.go:107: localhost:8080 GET /api/v1/applications 200
[2026/01/20 16:35:50.924748] [INFO] main.go:107: localhost:8080 GET /authos/app-selection 304
[2026/01/20 16:35:50.961320] [INFO] main.go:107: localhost:8080 GET /api/v1/applications 200
[2026/01/20 17:07:39.974999] [INFO] main.go:218: Server starting on :8099
[2026/01/20 17:08:01.061395] [INFO] main.go:107: localhost:8099 GET /authos/system-login 200
[2026/01/20 17:08:01.109989] [INFO] main.go:107: localhost:8099 GET /authos/assets/index-tMotlrDs.js 200
[2026/01/20 17:08:01.140096] [INFO] main.go:107: localhost:8099 GET /authos/assets/LockClosed-BMA4Zrx2.js 200
[2026/01/20 17:08:01.140096] [INFO] main.go:107: localhost:8099 GET /authos/assets/_plugin-vue_export-helper-DlAUqK2U.js 200
[2026/01/20 17:08:01.141202] [INFO] main.go:107: localhost:8099 GET /authos/assets/LogIn-BHQ0CBbi.js 200
[2026/01/20 17:08:01.148839] [INFO] main.go:107: localhost:8099 GET /authos/assets/index-C99W1-_y.js 200
[2026/01/20 17:08:01.153621] [INFO] main.go:107: localhost:8099 GET /authos/assets/SystemLogin-BtsjQVYl.css 200
[2026/01/20 17:08:01.156669] [INFO] main.go:107: localhost:8099 GET /authos/assets/SystemLogin-DhbPGxrm.js 200
[2026/01/20 17:08:01.165672] [INFO] main.go:107: localhost:8099 GET /authos/assets/ShieldCheckmark-BhrnSU1L.js 200
[2026/01/20 17:08:01.168672] [INFO] main.go:107: localhost:8099 GET /vite.svg 404
[2026/01/20 17:08:01.171136] [INFO] main.go:107: localhost:8099 GET /authos/assets/Person-Cm2AlYoX.js 200
[2026/01/20 17:08:18.879494] [INFO] main.go:107: localhost:8099 POST /api/public/system-login 200
[2026/01/20 17:08:18.891271] [INFO] main.go:107: localhost:8099 GET /authos/assets/CheckmarkCircle-DGCaNuWw.js 200
[2026/01/20 17:08:18.891271] [INFO] main.go:107: localhost:8099 GET /authos/assets/Add-Cl4LhByK.js 200
[2026/01/20 17:08:18.894868] [INFO] main.go:107: localhost:8099 GET /authos/assets/AppSelection-CHqk9Zm4.css 200
[2026/01/20 17:08:18.903783] [INFO] main.go:107: localhost:8099 GET /authos/assets/PersonCircle-B0K8lNaB.js 200
[2026/01/20 17:08:18.903783] [INFO] main.go:107: localhost:8099 GET /authos/assets/Apps-DbAPn3Gu.js 200
[2026/01/20 17:08:18.903783] [INFO] main.go:107: localhost:8099 GET /authos/assets/AppSelection-BbUNsOjE.js 200
[2026/01/20 17:08:18.937618] [INFO] main.go:107: localhost:8099 GET /api/v1/applications 200
[2026/01/20 17:08:27.048198] [INFO] main.go:107: localhost:8099 POST /api/v1/applications 200
[2026/01/20 17:08:27.069963] [INFO] main.go:107: localhost:8099 GET /api/v1/applications 200
